MIN,PF,STL,PTS,FGM,FGA,BLK,BLKA,PLUS_MINUS,PFD,TOV,DREB,REB,OREB,FTM,FTA,EXP,POSS,AGE,HEIGHT,WEIGHT,BMI,USG_PCT,PIE,E_OFF_RATING,E_DEF_RATING,AST_TO,AST_RATIO,FG3M,FG3A,AST,PFD,Games Missed
319.70666666666665,45,9,76,26,62,5,10,46,37,16,64,112,48,23,38,10.0,700,31,83.0,240.0,24.49121788358252,0.116,0.075,115.6,108.6,2.44,29.1,1,3,39,37,5
191.73666666666668,29,7,64,28,71,5,4,9,9,10,23,40,17,6,11,0.0,399,22,78.0,207.0,23.918639053254438,0.178,0.053,107.8,104.7,2.0,19.0,2,22,20,9,1
1817.3116666666667,175,64,937,332,763,37,32,110,162,126,247,311,64,180,218,3.0,3696,24,74.0,185.0,23.75,0.232,0.109,111.5,109.0,1.87,19.4,93,275,236,162,1
86.79833333333333,4,1,42,15,38,1,0,-20,1,8,6,7,1,2,2,1.0,180,25,80.0,220.0,24.165625,0.226,0.057,99.4,115.0,0.63,9.6,10,30,5,1,0
59.08,11,2,24,9,16,0,2,-44,3,3,6,12,6,6,6,0.0,125,24,82.0,250.0,26.137715645449138,0.157,0.078,85.7,125.3,1.0,12.0,0,0,3,3,0
225.365,24,13,87,32,69,0,3,15,12,14,20,21,1,8,12,0.0,470,25,73.0,195.0,25.724338525051603,0.166,0.071,114.1,108.7,1.93,23.5,15,38,27,12,2
2074.7633333333333,154,62,1458,506,1038,18,113,-143,295,165,134,205,71,318,370,5.0,4399,25,75.0,190.0,23.74577777777778,0.267,0.12,115.2,119.7,2.32,22.0,128,325,383,295,4
2067.435,141,42,1070,386,794,16,48,-445,116,98,195,225,30,114,157,2.0,4477,25,78.0,224.0,25.882971729125575,0.191,0.084,107.8,118.1,1.6,14.1,184,480,157,116,2
295.8933333333333,25,4,63,23,64,3,2,-12,8,12,24,30,6,4,7,4.0,633,32,75.0,200.0,24.995555555555555,0.108,0.042,115.4,117.2,3.5,34.7,13,42,42,8,0
649.355,40,21,285,116,228,15,16,-25,50,45,88,109,21,41,56,0.0,1313,24,73.0,180.0,23.74554325389379,0.201,0.113,112.1,114.0,2.62,28.4,12,34,118,50,0
2484.1283333333336,156,69,1369,492,1080,36,35,184,170,156,208,236,28,159,192,8.0,5348,28,75.0,193.0,24.12071111111111,0.222,0.103,115.6,112.7,3.09,26.8,226,545,482,170,6
41.24333333333333,4,1,14,5,15,1,0,-35,1,1,0,0,0,1,2,0.0,88,25,76.0,185.0,22.51644736842105,0.172,0.027,91.0,133.5,5.0,22.7,3,12,5,1,0
35.53333333333333,3,1,11,3,8,0,0,-31,3,1,2,4,2,4,5,0.0,81,23,75.0,200.0,24.995555555555555,0.125,0.06,86.8,122.9,3.0,21.4,1,4,3,3,20
15.466666666666669,1,0,10,4,6,2,1,2,0,0,1,2,1,0,0,4.0,30,28,82.0,231.0,24.151249256395005,0.182,0.172,130.8,115.2,0.0,25.0,2,2,2,0,0
45.975,2,0,14,6,17,1,1,-10,1,3,5,5,0,0,2,4.0,97,26,77.0,222.0,26.3224827120931,0.193,0.038,90.8,101.5,1.67,19.2,2,10,5,1,2
49.78333333333333,2,5,27,9,24,0,3,28,3,5,2,3,1,3,6,2.0,119,22,75.0,226.0,28.244977777777777,0.241,0.068,125.0,101.2,1.2,15.8,6,17,6,3,0
1046.8466666666666,64,33,557,202,500,20,35,-222,84,77,137,178,41,94,120,2.0,2147,24,80.0,204.0,22.408125,0.25,0.1,103.3,114.7,1.65,16.8,59,199,127,84,0
680.71,81,27,180,69,157,18,5,36,36,32,84,113,29,25,43,1.0,1411,21,79.0,195.0,21.965229931100787,0.127,0.063,113.9,110.6,2.53,27.9,17,74,81,36,9
269.7316666666667,27,7,107,43,72,13,3,-91,20,13,42,62,20,18,21,7.0,548,29,82.0,245.0,25.614961332540155,0.149,0.115,96.2,114.4,1.15,14.0,3,14,15,20,0
2578.4283333333333,134,72,1775,541,1277,18,85,389,357,193,284,320,36,473,514,11.0,5486,33,74.0,195.0,25.033783783783782,0.274,0.132,118.1,110.5,2.63,23.2,220,622,508,357,9
1814.355,227,65,814,348,480,153,34,-102,160,74,367,562,195,118,175,4.0,3897,25,82.0,234.0,24.464901844140392,0.145,0.121,112.9,114.2,1.55,15.4,0,0,115,160,6
1014.84,127,21,376,156,293,51,27,62,58,42,159,244,85,38,50,6.0,2116,32,80.0,245.0,26.91171875,0.15,0.084,115.2,111.8,1.45,14.6,26,71,61,58,3
629.29,50,14,280,83,190,6,8,-99,82,23,88,108,20,84,98,13.0,1335,35,82.0,236.0,24.674003569303984,0.171,0.093,109.0,117.7,2.39,18.0,30,93,55,82,6
18.45,1,1,0,0,2,0,0,0,0,0,2,2,0,0,0,4.0,41,37,78.0,215.0,24.843030900723207,0.043,0.012,110.8,118.0,0.0,33.3,0,1,1,0,0
1087.621666666667,85,22,428,161,302,5,18,239,78,49,124,149,25,53,68,6.0,2310,28,77.0,214.0,25.37392477652218,0.148,0.093,120.6,109.9,3.2,29.1,53,108,157,78,26
509.055,45,15,144,47,105,5,7,20,39,19,42,58,16,35,46,4.0,1077,31,78.0,220.0,25.42077580539119,0.116,0.053,109.8,108.5,1.47,16.4,15,50,28,39,6
1097.7516666666668,112,31,515,181,388,10,25,-21,95,78,210,283,73,79,93,6.0,2294,30,82.0,225.0,23.523944080904222,0.19,0.111,112.4,114.7,1.85,22.1,74,197,144,95,9
23.98333333333333,0,0,3,1,5,1,1,-22,1,0,4,4,0,1,2,0.0,55,19,78.0,220.0,25.42077580539119,0.094,0.035,108.6,161.5,0.0,33.3,0,3,3,1,45
151.825,3,6,48,18,30,7,4,-33,9,8,20,28,8,10,12,4.0,315,24,81.0,216.0,23.144032921810698,0.118,0.089,114.7,122.8,0.88,14.0,2,8,7,9,0
1900.4383333333333,95,74,1028,375,841,7,48,112,163,176,122,152,30,146,175,4.0,3894,24,73.0,192.0,25.328579470820042,0.249,0.104,112.7,111.1,2.12,25.5,132,356,373,163,25
51.35,4,2,26,10,18,0,0,6,4,3,8,10,2,3,3,2.0,111,24,76.0,204.0,24.82894736842105,0.179,0.114,116.7,112.0,1.67,18.5,3,6,5,4,0
1176.9816666666666,72,27,425,165,409,11,33,-225,56,57,158,211,53,47,68,1.0,2482,23,76.0,255.0,31.036184210526315,0.177,0.068,103.5,113.1,1.4,13.9,48,164,80,56,0
1101.1,85,17,379,146,323,3,10,-45,50,43,76,95,19,30,42,2.0,2302,25,72.0,202.0,27.393132716049383,0.147,0.064,110.8,113.1,3.12,25.9,57,158,134,50,1
920.575,131,24,415,168,294,44,29,64,106,70,228,389,161,75,123,2.0,1898,22,81.0,265.0,28.39429964944368,0.185,0.131,112.1,107.9,1.21,17.0,4,15,85,106,19
2658.7633333333333,193,150,1966,720,1549,31,68,233,333,194,273,340,67,312,423,6.0,5629,26,75.0,185.0,23.12088888888889,0.3,0.128,115.1,112.6,2.15,17.8,214,580,418,333,8
1681.0933333333332,146,40,891,304,663,16,29,-49,193,83,191,222,31,166,196,4.0,3539,26,80.0,221.0,24.27546875,0.204,0.079,115.7,117.2,1.05,9.5,117,304,87,193,25
